,years,Category,comments,views
0,2006,education,4553,47227110
1,2006,personal/work,4553,47227110
2,2006,culture,4553,47227110
3,2006,culture,4553,47227110
4,2006,education,4553,47227110
5,2006,education,4553,47227110
6,2006,education,4553,47227110
7,2006,environment/nature,265,3200520
8,2006,technology/science,265,3200520
9,2006,environment/nature,265,3200520
10,2006,culture,265,3200520
11,2006,environment/nature,265,3200520
12,2006,technology/science,265,3200520
13,2006,technology/science,265,3200520
14,2006,technology/science,265,3200520
15,2006,technology/science,265,3200520
16,2006,technology/science,124,1636292
17,2006,culture,124,1636292
18,2006,technology/science,124,1636292
19,2006,culture,124,1636292
20,2006,culture,124,1636292
21,2006,culture,124,1636292
22,2006,personal/work,124,1636292
23,2006,technology/science,124,1636292
24,2006,technology/science,124,1636292
25,2006,education,200,1697550
26,2006,personal/work,200,1697550
27,2006,personal/work,200,1697550
28,2006,technology/science,200,1697550
29,2006,environment/nature,200,1697550
30,2006,environment/nature,200,1697550
31,2006,technology/science,200,1697550
32,2006,technology/science,200,1697550
33,2006,environment/nature,200,1697550
34,2006,technology/science,593,12005869
35,2006,technology/science,593,12005869
36,2006,technology/science,593,12005869
37,2006,technology/science,593,12005869
38,2006,technology/science,593,12005869
39,2006,technology/science,593,12005869
40,2006,technology/science,593,12005869
41,2006,technology/science,593,12005869
42,2006,technology/science,593,12005869
43,2006,technology/science,593,12005869
44,2006,technology/science,593,12005869
45,2006,personal/work,672,20685401
46,2006,culture,672,20685401
47,2006,culture,672,20685401
48,2006,technology/science,672,20685401
49,2006,personal/work,672,20685401
50,2006,personal/work,672,20685401
51,2006,technology/science,672,20685401
52,2006,culture,919,3769987
53,2006,culture,919,3769987
54,2006,culture,919,3769987
55,2006,culture,919,3769987
56,2006,culture,919,3769987
57,2006,culture,919,3769987
58,2006,culture,919,3769987
59,2006,culture,919,3769987
60,2006,personal/work,919,3769987
61,2006,technology/science,46,967741
62,2006,personal/work,46,967741
63,2006,culture,46,967741
64,2006,technology/science,46,967741
65,2006,education,46,967741
66,2006,culture,852,2567958
67,2006,personal/work,852,2567958
68,2006,culture,852,2567958
69,2006,personal/work,852,2567958
70,2006,technology/science,852,2567958
71,2006,personal/work,852,2567958
72,2006,technology/science,852,2567958
73,2006,technology/science,852,2567958
74,2006,culture,852,2567958
75,2006,culture,900,3095993
76,2006,culture,900,3095993
77,2006,culture,900,3095993
78,2006,personal/work,900,3095993
79,2006,personal/work,900,3095993
80,2006,personal/work,900,3095993
81,2006,technology/science,900,3095993
82,2006,culture,900,3095993
83,2006,personal/work,79,1211416
84,2006,technology/science,79,1211416
85,2006,personal/work,79,1211416
86,2006,culture,79,1211416
87,2006,technology/science,79,1211416
88,2006,technology/science,79,1211416
89,2006,technology/science,79,1211416
90,2006,technology/science,79,1211416
91,2006,technology/science,79,1211416
92,2006,technology/science,79,1211416
93,2006,education,55,387877
94,2006,culture,55,387877
95,2006,culture,55,387877
96,2006,culture,55,387877
97,2006,culture,55,387877
98,2006,society,55,387877
99,2006,culture,55,387877
100,2006,society,55,387877
101,2006,society,55,387877
102,2006,personal/work,55,387877
103,2006,education,71,693341
104,2006,personal/work,71,693341
105,2006,society,71,693341
106,2006,society,71,693341
107,2006,technology/science,71,693341
108,2006,technology/science,71,693341
109,2006,technology/science,71,693341
110,2006,technology/science,71,693341
111,2006,technology/science,242,4531020
112,2006,technology/science,242,4531020
113,2006,technology/science,242,4531020
114,2006,technology/science,242,4531020
115,2006,education,99,358304
116,2006,technology/science,99,358304
117,2006,education,99,358304
118,2006,technology/science,99,358304
119,2006,technology/science,99,358304
120,2006,technology/science,99,358304
121,2006,society,99,358304
122,2006,society,99,358304
123,2006,culture,325,2702470
124,2006,culture,325,2702470
125,2006,culture,325,2702470
126,2006,culture,325,2702470
127,2006,education,325,2702470
128,2006,education,325,2702470
129,2006,personal/work,305,1628912
130,2006,culture,305,1628912
131,2006,culture,305,1628912
132,2006,culture,305,1628912
133,2006,culture,305,1628912
134,2006,education,305,1628912
135,2006,education,88,1415724
136,2006,environment/nature,88,1415724
137,2006,society,88,1415724
138,2006,technology/science,88,1415724
139,2006,technology/science,88,1415724
140,2006,technology/science,88,1415724
141,2006,technology/science,88,1415724
142,2006,personal/work,88,1415724
143,2006,technology/science,163,1074081
144,2006,technology/science,163,1074081
145,2006,personal/work,163,1074081
146,2006,technology/science,163,1074081
147,2006,technology/science,163,1074081
148,2006,technology/science,163,1074081
149,2006,environment/nature,163,1074081
150,2006,technology/science,163,1074081
151,2006,technology/science,163,1074081
152,2006,personal/work,84,1106561
153,2006,personal/work,84,1106561
154,2006,culture,84,1106561
155,2006,technology/science,84,1106561
156,2006,culture,84,1106561
157,2006,technology/science,84,1106561
158,2006,technology/science,84,1106561
159,2006,technology/science,84,1106561
