years,themes,views,comments
2011,youth,1866264,231
2012,youth,1798001,87
2014,youth,1304017,107
2013,youth,1212774,153
2012,youth,1057964,150
2012,youth,1447603,269
2011,youth,569814,223
2011,youth,6503775,307
2013,youth,1403668,117
2012,youth,979094,157
2012,youth,803292,69
2012,youth,2246203,165
2015,youth,1488893,142
2012,youth,766305,82
2013,youth,2954036,565
2013,youth,4538435,269
2012,youth,186308,175
2014,youth,917406,106
2015,youth,1617977,92
2013,youth,1725064,143
2015,youth,1049652,72
2013,youth,1485801,818
2015,youth,4160772,169
2014,youth,2226171,170
2015,youth,1378025,76
2012,youth,3192405,407
2006,youth,2702470,325
2013,youth,815594,127
2014,youth,1454663,122
2015,youth,906025,42
2016,youth,1219306,105
2013,youth,1546610,473
2015,youth,780116,32
2012,youth,1272319,119
2014,youth,1248568,134
2013,youth,8958850,937
2012,youth,765840,75
2012,youth,913084,170
2013,wunderkind,5199008,129
2006,wunderkind,1628912,305
2006,wunderkind,2702470,325
2017,wunderkind,1057942,22
2006,wunderkind,1030267,213
2012,wunderkind,1798001,87
2015,writing,1446267,63
2009,writing,819664,115
2017,writing,1890978,65
2009,writing,1437808,402
2017,writing,1173364,80
2008,writing,843859,137
2017,writing,1318454,55
2017,writing,1802516,43
2013,writing,1000495,64
2013,writing,1341106,225
2016,writing,2190919,372
2017,writing,383080,51
2017,writing,4503368,197
2017,writing,643011,14
2008,writing,1357888,231
2010,writing,676741,177
2016,writing,1172873,53
2010,writing,1406151,356
2017,writing,448733,70
2009,writing,326663,35
2017,writing,1422701,360
2016,writing,3148366,143
2017,writing,822049,15
2015,writing,1356917,339
2013,writing,879676,134
2011,writing,2859644,592
2008,writing,1848521,99
2017,writing,890478,42
2013,writing,3035515,239
2011,writing,1783040,318
2013,writing,2158038,227
2017,writing,942996,93
2007,writing,533761,71
2014,writing,3643938,183
2009,writing,891314,91
2008,writing,2291701,583
2008,writing,644637,66
2016,writing,2275945,70
2016,writing,1531062,31
2009,writing,246094,39
2013,writing,724180,90
2017,writing,1114319,32
2008,writing,2477746,145
2009,writing,22270883,354
2009,writing,296294,55
2016,writing,1477238,32
2017,writing,1147037,31
2013,writing,1841716,158
2010,writing,473220,101
2010,writing,1838628,2272
2017,writing,1036236,53
2008,writing,497153,87
2009,writing,13298341,1155
2015,writing,3436514,81
2017,writing,1515749,41
2011,writing,953671,202
2010,writing,1890066,197
2016,writing,14745406,310
2016,writing,1060918,36
2017,writing,918385,92
2009,writing,13155478,1604
2016,writing,764500,90
2011,writing,1757711,217
2013,writing,1908577,154
2016,writing,2173228,83
2016,writing,997650,68
2015,writing,3098476,149
2013,world cultures,3035515,239
2016,world cultures,2173228,83
2016,world cultures,1027539,44
2017,world cultures,799873,20
2016,world cultures,2028383,69
2009,world cultures,935859,185
2008,world cultures,3741423,465
2016,world cultures,923916,42
2012,world cultures,1024326,87
2014,world cultures,1454878,103
2016,world cultures,1954438,89
2012,world cultures,981351,124
2013,world cultures,1538661,169
2012,world cultures,986648,270
2017,world cultures,626886,23
2016,world cultures,902761,73
2015,world cultures,2141928,162
2012,world cultures,983994,305
2017,world cultures,908666,83
2016,work-life balance,1546664,56
2016,work-life balance,4864165,90
2008,work-life balance,522550,53
2017,work-life balance,3183828,55
2007,work-life balance,2441805,226
2017,work-life balance,2031509,105
2015,work-life balance,4811180,181
2011,work-life balance,3813685,283
2016,work-life balance,3148366,143
2015,work-life balance,16601927,527
2014,work-life balance,2649262,83
2009,work-life balance,5790615,471
2014,work-life balance,1424893,185
2016,work-life balance,1404984,58
2016,work,3148366,143
2014,work,1424893,185
2009,work,5790615,471
2013,work,1351691,223
2016,work,1404984,58
2016,work,1827512,38
2015,work,1591696,91
2011,work,802688,168
2017,work,992523,18
2014,work,2133100,157
2017,work,3183828,55
2009,work,554650,64
2014,work,6803938,294
2013,work,5319077,347
2014,work,3170206,141
2016,work,3225186,69
2009,work,18830983,1094
2013,work,2102608,354
2013,work,1058852,144
2010,work,4908787,589
2009,work,13155478,1604
2016,work,1385538,23
2008,work,4016531,243
2015,work,1852632,58
2015,work,4811180,181
2008,work,724833,41
2016,work,1546664,56
2016,work,14745406,310
2012,work,956324,260
2016,work,1232506,135
2011,work,3813685,283
2015,work,2527133,97
2012,work,1057964,150
2013,work,745252,279
2016,work,4864165,90
2015,work,4456309,489
2016,work,1743987,23
2017,work,1419314,183
2016,work,6484404,135
2009,work,4434674,409
2016,work,1811178,24
2017,work,613915,33
2016,work,1677142,45
2016,work,1929261,75
2017,work,3535736,76
2017,work,1070238,25
2015,work,2362727,112
2015,work,1392660,219
2009,work,4891781,269
2014,work,2120569,40
2016,work,2079266,72
