title,views,comments
3d printing,3530313,503
AI,63895435,6671
AIDS,12470554,1992
Addiction,20169651,1013
Africa,116146365,11695
Alzheimer's,8022668,764
Anthropocene,12188582,3512
Asia,54786277,9421
Autism spectrum disorder,17449011,2118
Bioethics,28492922,4640
Blindness,13311272,926
Brand,5436448,400
Brazil,12309950,1861
Buddhism,23977471,1662
CRISPR,5917914,444
Christianity,14447366,2954
Criminal Justice,16434869,1381
DNA,51562466,5977
Debate,9289312,1402
Egypt,12622838,2092
Europe,21996191,3160
Foreign Policy,10640842,2176
Gender equality,61256349,7515
Gender spectrum,8950599,1012
God,35474650,14057
Google,27443844,1827
Guns,8507565,1365
HIV,5392396,485
Human body,21095690,1648
Internet,129711421,12764
Iran,9621455,1507
Islam,11750094,2918
LGBT,23769622,2906
MacArthur grant,12529134,1450
Mars,17596791,1204
Middle East,51949341,4500
Moon,3842349,339
NASA,29914845,2562
Natural resources,11196937,2170
New York,6851094,350
Nobel prize,3417285,422
PTSD,9601970,894
Planets,34677394,4656
Senses,27559750,3827
Slavery,14547286,2373
South America,14459166,1316
String theory,26013519,3633
Surgery,14310751,1469
Surveillance,29463742,4797
Syria,8296462,623
TED Books,39024655,2028
TED Brain Trust,113132166,15888
TED Fellows,170673889,16680
TED Prize,29405036,4020
TED Residency,5288419,176
TED en Espa?ol,6990324,926
TED-Ed,5203040,1608
TEDMED,29602679,999
TEDNYC,23612018,991
TEDYouth,29176414,2481
TEDx,707863450,82532
Transgender,12261224,1075
United States,41817308,3965
Vaccines,12395202,1785
activism,182861880,21408
adventure,69314264,3873
advertising,15165432,1852
aging,99539732,6916
agriculture,46328729,9730
aircraft,14104432,1011
algorithm,51687247,3268
alternative energy,42407668,9271
ancient world,26951234,1842
animals,149805737,13455
animation,16661993,1521
anthropology,30346972,3355
ants,4017947,243
apes,3892353,1026
archaeology,6941723,766
architecture,92027494,8649
art,262659363,23226
asteroid,7241214,453
astrobiology,12938744,1054
astronomy,63034944,7683
atheism,14485041,9956
augmented reality,4198392,187
bacteria,34991593,2859
beauty,100944380,5924
bees,14152204,1318
behavioral economics,39525006,4467
big bang,22599802,2595
big problems,78775749,8353
biodiversity,68711988,6499
biology,276290999,30896
biomechanics,47249022,3379
biomimicry,29605695,3180
biosphere,6775582,212
biotech,86454897,9121
birds,13859218,1575
blockchain,5403517,187
body language,87928006,5123
books,75573356,5721
botany,19449821,2751
brain,448272373,44186
bullying,13353184,2896
business,736918304,79676
cancer,56252162,5644
capitalism,18242751,1374
cars,24469287,3392
cello,1159088,77
charter for compassion,3215579,679
chemistry,41065254,4383
children,272656241,30550
china,34322022,8115
choice,125383594,9426
cities,138446436,18957
climate change,95558030,16806
cloud,1971157,180
code,45883163,4175
cognitive science,148365052,12800
collaboration,227837251,18187
comedy,141319502,8767
communication,344618259,24502
community,196312398,16196
compassion,53145420,4999
complexity,26458203,2835
composing,13056604,718
computers,158465357,17445
conducting,20139744,1704
