schol_id,University,Major,Level,Language,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Original Tuition fee,Start_Month,Start_Year,Accomodation_To_Pay,Accomodation_duration,Expense_To_Pay,Expense_duration
1,Shanghai University of Traditional Chinese Medicine,Summer School (TCM),Non-Degree,English,7500.0,0,0,0,7500.0,Jun,2020,9750.0,MONTH,1000.0,MONTH
2,Changchun University of Science and Technology,Preparatory Program of Humanities Direction(Path A),Non-Degree,Chinese,10000.0,0,0,10000,20000.0,Sep,2019,1500.0,MONTH,1500.0,MONTH
3,Changchun University of Science and Technology,Preparatory Program of Business Direction(Path A),Non-Degree,Chinese,10000.0,0,0,10000,20000.0,Sep,2019,1500.0,MONTH,1500.0,MONTH
4,Changchun University of Science and Technology,Preparatory Program of Science and Engineering Direction(Path A),Non-Degree,Chinese,10000.0,0,0,10000,20000.0,Sep,2019,1500.0,MONTH,1500.0,MONTH
5,Qingdao University,Long-term Chinese Language Program,Non-Degree,Chinese,7000.0,1,1,0,7000.0,Sep,2019,0.0,YEAR,0.0,MONTH
6,Qingdao University,Long-term Chinese Language Program,Non-Degree,Chinese,14000.0,1,1,0,14000.0,Sep,2019,0.0,YEAR,0.0,MONTH
7,"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Business,Non-Degree,English,80000.0,0,0,40000,120000.0,Sep,2019,24000.0,YEAR,2700.0,MONTH
8,"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Engineering,Non-Degree,English,80000.0,0,0,40000,120000.0,Sep,2019,24000.0,YEAR,2700.0,MONTH
9,"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Business,Non-Degree,English,80000.0,0,0,60000,140000.0,Sep,2019,24000.0,YEAR,2700.0,MONTH
10,"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Engineering,Non-Degree,English,80000.0,0,0,60000,140000.0,Sep,2019,24000.0,YEAR,2700.0,MONTH
11,"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Engineering,Non-Degree,English,80000.0,0,0,60000,140000.0,Sep,2019,24000.0,YEAR,2700.0,MONTH
12,"The Sino-British College, University of Shanghai for Science and Technology",International Foundation in Business,Non-Degree,English,80000.0,0,0,60000,140000.0,Sep,2019,24000.0,YEAR,2700.0,MONTH
13,Zhengzhou University of Light Industry,Chinese Language Program,Non-Degree,Chinese,7500.0,0,0,1500,9000.0,Sep,2019,1000.0,MONTH,1500.0,MONTH
14,Zhengzhou University of Light Industry,Chinese Language Program,Non-Degree,Chinese,7500.0,0,0,1500,9000.0,Sep,2019,1000.0,MONTH,1500.0,MONTH
15,Beijing Chinese Language and Culture College,Chinese Language Class,Non-Degree,Chinese,3000.0,0,0,14700,17700.0,Sep,2019,1700.0,MONTH,1000.0,MONTH
16,Beijing Chinese Language and Culture College,Chinese Language Class,Non-Degree,Chinese,3000.0,0,0,5100,8100.0,Sep,2019,1700.0,MONTH,1000.0,MONTH
17,Ningbo University,Chinese Language Program,Non-Degree,Chinese,6000.0,0,0,10000,16000.0,Sep,2019,750.0,MONTH,1000.0,MONTH
18,Changchun University of Technology,Long-Term Chinese Training Program,Non-Degree,Chinese,5000.0,0,0,5000,10000.0,Mar,2020,2500.0,YEAR,1000.0,MONTH
19,Shandong Polytechnic College,Chinese and Culture Program,Non-Degree,Chinese,6000.0,0,0,2000,8000.0,Sep,2019,3000.0,YEAR,1500.0,MONTH
20,China University of Petroleum - Beijing,(Top 300 Program) Management Science and Engineering,Non-Degree,English,25000.0,1,1,0,25000.0,Sep,2019,0.0,YEAR,0.0,MONTH
21,China University of Petroleum - Beijing,(Top 300 Program)Geological Resources and Geological Engineering,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
22,China University of Petroleum - Beijing,(Top 300 Program)Geological Resources and Geological Engineering,Non-Degree,English,25000.0,1,1,0,25000.0,Feb,2020,0.0,YEAR,0.0,MONTH
23,China University of Petroleum - Beijing,(Top 300 Program)Geological Resources and Geological Engineering,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
24,China University of Petroleum - Beijing,(Top 300 Program)Geological Resources and Geological Engineering,Non-Degree,English,25000.0,1,1,0,25000.0,Sep,2019,0.0,YEAR,0.0,MONTH
25,Changchun University of Technology,Long-Term Chinese Training Program,Non-Degree,Chinese,5000.0,0,0,5000,10000.0,Sep,2019,2500.0,YEAR,1000.0,MONTH
26,Changchun University of Technology,Long-Term Chinese Training Program,Non-Degree,Chinese,5000.0,0,0,5000,10000.0,Sep,2019,2500.0,YEAR,1000.0,MONTH
27,Beijing Film Academy,"""Belt and Road"" Photography Program",Non-Degree,English,46000.0,0,0,0,46000.0,Sep,2019,2400.0,MONTH,2200.0,MONTH
28,Zhejiang A & F University,Chinese Language Program,Non-Degree,Chinese,6000.0,0,0,8400,14400.0,Sep,2019,360.0,MONTH,1000.0,MONTH
29,Zhejiang A & F University,Chinese Language Program,Non-Degree,Chinese,3000.0,0,0,3600,6600.0,Sep,2019,360.0,MONTH,1000.0,MONTH
30,China University of Petroleum - Beijing,(Top 300 Program)Geology,Non-Degree,English,25000.0,1,1,0,25000.0,Sep,2019,0.0,YEAR,0.0,MONTH
31,China University of Petroleum - Beijing,(Top 300 Program)Petroleum and Natural Gas Engineering,Non-Degree,English,25000.0,1,1,0,25000.0,Feb,2020,0.0,YEAR,0.0,MONTH
32,China University of Petroleum - Beijing,(Top 300 Program)Finance,Non-Degree,English,25000.0,1,1,0,25000.0,Sep,2019,0.0,YEAR,0.0,MONTH
33,Tianjin International Chinese College,Preparatory Education,Non-Degree,Chinese,4000.0,0,0,10000,14000.0,Sep,2019,2000.0,MONTH,1500.0,MONTH
34,Nanchang University,Chinese Language Program,Non-Degree,Chinese,6500.0,1,0,6500,13000.0,Sep,2019,0.0,YEAR,1500.0,MONTH
35,China University of Petroleum - Beijing,(Top 300 Program)Geophysics,Non-Degree,English,25000.0,1,1,0,25000.0,Sep,2019,0.0,YEAR,0.0,MONTH
36,China University of Petroleum - Beijing,(Top 300 Program)Chemical Engineering and Technology,Non-Degree,English,25000.0,1,1,0,25000.0,Sep,2019,0.0,YEAR,0.0,MONTH
37,China University of Petroleum - Beijing,(Top 300 Program)Industrial Economics,Non-Degree,English,25000.0,1,1,0,25000.0,Sep,2019,0.0,YEAR,0.0,MONTH
38,China University of Petroleum - Beijing,(Top 300 Program)Petroleum and Natural Gas Engineering,Non-Degree,English,25000.0,1,1,0,25000.0,Sep,2019,0.0,YEAR,0.0,MONTH
39,China University of Petroleum - Beijing,(Top 300 Program) Management Science and Engineering,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
40,China University of Petroleum - Beijing,(Top 300 Program)Finance,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
41,China University of Petroleum - Beijing,(Top 300 Program)Geology,Non-Degree,English,12500.0,1,1,0,12500.0,Sep,2019,0.0,YEAR,0.0,MONTH
42,China University of Petroleum - Beijing,(Top 300 Program)Geophysics,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
43,China University of Petroleum - Beijing,(Top 300 Program)Chemical Engineering and Technology,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
44,China University of Petroleum - Beijing,(Top 300 Program)Petroleum and Natural Gas Engineering,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
45,China University of Petroleum - Beijing,(Top 300 Program) Management Science and Engineering,Non-Degree,English,25000.0,1,1,0,25000.0,Feb,2020,0.0,YEAR,0.0,MONTH
46,China University of Petroleum - Beijing,(Top 300 Program)Industrial Economics,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
47,China University of Petroleum - Beijing,(Top 300 Program)Finance,Non-Degree,English,25000.0,1,1,0,25000.0,Feb,2020,0.0,YEAR,0.0,MONTH
48,Changzhou Institute of Technology,Long-term Program for Chinese Language Study,Non-Degree,Chinese,0.0,1,0,24000,24000.0,Sep,2019,4000.0,YEAR,1500.0,MONTH
49,Changzhou Institute of Technology,Long-term Program for Chinese Language Study,Non-Degree,Chinese,0.0,1,0,24000,24000.0,Sep,2019,4000.0,YEAR,1500.0,MONTH
50,China University of Petroleum - Beijing,(Top 300 Program)Geophysics,Non-Degree,English,25000.0,1,1,0,25000.0,Feb,2020,0.0,YEAR,0.0,MONTH
51,China University of Petroleum - Beijing,(Top 300 Program)Finance,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
52,China University of Petroleum - Beijing,(Top 300 Program)Industrial Economics,Non-Degree,English,25000.0,1,1,0,25000.0,Feb,2020,0.0,YEAR,0.0,MONTH
53,China University of Petroleum - Beijing,(Top 300 Program)Chemical Engineering and Technology,Non-Degree,English,25000.0,1,1,0,25000.0,Feb,2020,0.0,YEAR,0.0,MONTH
54,China University of Petroleum - Beijing,(Top 300 Program)Geology,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
55,China University of Petroleum - Beijing,(Top 300 Program)Chemical Engineering and Technology,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
56,China University of Petroleum - Beijing,(Top 300 Program)Geophysics,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
57,China University of Petroleum - Beijing,(Top 300 Program)Petroleum and Natural Gas Engineering,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
58,China University of Petroleum - Beijing,(Top 300 Program)Industrial Economics,Non-Degree,English,12500.0,1,1,0,12500.0,Feb,2020,0.0,YEAR,0.0,MONTH
59,China University of Petroleum - Beijing,Chinese Language Program,Non-Degree,Chinese,21000.0,1,1,0,21000.0,Sep,2019,0.0,YEAR,0.0,MONTH
60,China University of Petroleum - Beijing,Chinese Language Program,Non-Degree,Chinese,10500.0,1,1,0,10500.0,Sep,2019,0.0,YEAR,0.0,MONTH
61,China University of Petroleum - Beijing,(Top 300 Program)Geology,Non-Degree,English,25000.0,1,1,0,25000.0,Feb,2020,0.0,YEAR,0.0,MONTH
62,Xi'an International Studies University,Long-term Chinese Language Program,Non-Degree,Chinese,10000.0,0,0,4600,14600.0,Sep,2019,1800.0,YEAR,1500.0,MONTH
63,Changchun University of Science and Technology,International Economics and Trade,Bachelor,English,5550.0,0,0,12950,18500.0,Sep,2019,4800.0,TERM,1750.0,MONTH
