years,Category,comments,views
2006,education,4553,47227110
2006,personal/work,4553,47227110
2006,culture,4553,47227110
2006,culture,4553,47227110
2006,education,4553,47227110
2006,education,4553,47227110
2006,education,4553,47227110
2006,environment/nature,265,3200520
2006,technology/science,265,3200520
2006,environment/nature,265,3200520
2006,culture,265,3200520
2006,environment/nature,265,3200520
2006,technology/science,265,3200520
2006,technology/science,265,3200520
2006,technology/science,265,3200520
2006,technology/science,265,3200520
2006,technology/science,124,1636292
2006,culture,124,1636292
2006,technology/science,124,1636292
2006,culture,124,1636292
2006,culture,124,1636292
2006,culture,124,1636292
2006,personal/work,124,1636292
2006,technology/science,124,1636292
2006,technology/science,124,1636292
2006,education,200,1697550
2006,personal/work,200,1697550
2006,personal/work,200,1697550
2006,technology/science,200,1697550
2006,environment/nature,200,1697550
2006,environment/nature,200,1697550
2006,technology/science,200,1697550
2006,technology/science,200,1697550
2006,environment/nature,200,1697550
2006,technology/science,593,12005869
2006,technology/science,593,12005869
2006,technology/science,593,12005869
2006,technology/science,593,12005869
2006,technology/science,593,12005869
2006,technology/science,593,12005869
2006,technology/science,593,12005869
2006,technology/science,593,12005869
2006,technology/science,593,12005869
2006,technology/science,593,12005869
2006,technology/science,593,12005869
2006,personal/work,672,20685401
2006,culture,672,20685401
2006,culture,672,20685401
2006,technology/science,672,20685401
2006,personal/work,672,20685401
2006,personal/work,672,20685401
2006,technology/science,672,20685401
2006,culture,919,3769987
2006,culture,919,3769987
2006,culture,919,3769987
2006,culture,919,3769987
2006,culture,919,3769987
2006,culture,919,3769987
2006,culture,919,3769987
2006,culture,919,3769987
2006,personal/work,919,3769987
2006,technology/science,46,967741
2006,personal/work,46,967741
2006,culture,46,967741
2006,technology/science,46,967741
2006,education,46,967741
2006,culture,852,2567958
2006,personal/work,852,2567958
2006,culture,852,2567958
2006,personal/work,852,2567958
2006,technology/science,852,2567958
2006,personal/work,852,2567958
2006,technology/science,852,2567958
2006,technology/science,852,2567958
2006,culture,852,2567958
2006,culture,900,3095993
2006,culture,900,3095993
2006,culture,900,3095993
2006,personal/work,900,3095993
2006,personal/work,900,3095993
2006,personal/work,900,3095993
2006,technology/science,900,3095993
2006,culture,900,3095993
2006,personal/work,79,1211416
2006,technology/science,79,1211416
2006,personal/work,79,1211416
2006,culture,79,1211416
2006,technology/science,79,1211416
2006,technology/science,79,1211416
2006,technology/science,79,1211416
2006,technology/science,79,1211416
2006,technology/science,79,1211416
2006,technology/science,79,1211416
2006,education,55,387877
2006,culture,55,387877
2006,culture,55,387877
2006,culture,55,387877
2006,culture,55,387877
2006,society,55,387877
2006,culture,55,387877
2006,society,55,387877
2006,society,55,387877
2006,personal/work,55,387877
2006,education,71,693341
2006,personal/work,71,693341
2006,society,71,693341
2006,society,71,693341
2006,technology/science,71,693341
2006,technology/science,71,693341
2006,technology/science,71,693341
2006,technology/science,71,693341
2006,technology/science,242,4531020
2006,technology/science,242,4531020
2006,technology/science,242,4531020
2006,technology/science,242,4531020
2006,education,99,358304
2006,technology/science,99,358304
2006,education,99,358304
